SEASON_END_YEAR,PLAYER_NAME,PLAYER_NAME_KEY,IS_ALL_STAR_THIS_SEASON
2001,K. Durant,k durant,1
2001,Karl Malone,karl malone,1
2001,Kevin Garnett,kevin garnett,1
2001,Kobe Bryant,kobe bryant,1
2001,L. DonÄiÄ,l donaia,1
2001,L. James,l james,1
2001,Latrell Sprewell,latrell sprewell,1
2001,Michael Finley,michael finley,1
2001,N. JokiÄ,n jokia,1
2001,Rasheed Wallace,rasheed wallace,1
2001,Ray Allen,ray allen,1
2001,S. Curry,s curry,1
2001,Shaquille O'Neal,shaquille oneal,1
2001,Stephon Marbury,stephon marbury,1
2001,Theo Ratliff,theo ratliff,1
2001,Tim Duncan,tim duncan,1
2001,Tracy McGrady,tracy mcgrady,1
2001,V. Wembanyama,v wembanyama,1
2001,Vince Carter,vince carter,1
2001,Vlade Divac,vlade divac,1
2001,W. Chamberlain,w chamberlain,1
2002,Allen Iverson,allen iverson,1
2002,Alonzo Mourning,alonzo mourning,1
2002,Antoine Walker,antoine walker,1
2002,Baron Davis,baron davis,1
2002,Chris Webber,chris webber,1
2002,D. Schayes,d schayes,1
2002,Dikembe Mutombo,dikembe mutombo,1
2002,Dirk Nowitzki,dirk nowitzki,1
2002,E. Hayes,e hayes,1
2002,Elton Brand,elton brand,1
2002,G. Antetokounmpo,g antetokounmpo,1
2002,Gary Payton,gary payton,1
2002,H. Olajuwon,h olajuwon,1
2002,J. Embiid,j embiid,1
2002,J. Harden,j harden,1
2002,J. Havlicek,j havlicek,1
2002,J. Stockton,j stockton,1
2002,Jason Kidd,jason kidd,1
2002,Jermaine O'Neal,jermaine oneal,1
2002,K. Durant,k durant,1
2002,Karl Malone,karl malone,1
2002,Kevin Garnett,kevin garnett,1
2002,Kobe Bryant,kobe bryant,1
2002,L. DonÄiÄ,l donaia,1
2002,L. James,l james,1
2002,Michael Jordan,michael jordan,1
2002,N. JokiÄ,n jokia,1
2002,Paul Pierce,paul pierce,1
2002,Peja StojakoviÄ,peja stojakovia,1
2002,Ray Allen,ray allen,1
2002,S. Curry,s curry,1
2002,Shaquille O'Neal,shaquille oneal,1
2002,Shareef Abdur-Rahim,shareef abdurrahim,1
2002,Steve Francis,steve francis,1
2002,Steve Nash,steve nash,1
2002,Tim Duncan,tim duncan,1
2002,Tracy McGrady,tracy mcgrady,1
2002,V. Wembanyama,v wembanyama,1
2002,Vince Carter,vince carter,1
2002,W. Chamberlain,w chamberlain,1
2002,Wally Szczerbiak,wally szczerbiak,1
2003,Allen Iverson,allen iverson,1
2003,Antoine Walker,antoine walker,1
2003,Ben Wallace,ben wallace,1
2003,Brad Miller,brad miller,1
2003,Chris Webber,chris webber,1
2003,D. Schayes,d schayes,1
2003,Dirk Nowitzki,dirk nowitzki,1
2003,E. Hayes,e hayes,1
2003,G. Antetokounmpo,g antetokounmpo,1
2003,Gary Payton,gary payton,1
2003,H. Olajuwon,h olajuwon,1
2003,J. Embiid,j embiid,1
2003,J. Harden,j harden,1
2003,J. Havlicek,j havlicek,1
2003,J. Stockton,j stockton,1
2003,Jamal Mashburn,jamal mashburn,1
2003,Jason Kidd,jason kidd,1
2003,Jermaine O'Neal,jermaine oneal,1
2003,K. Durant,k durant,1
2003,Kevin Garnett,kevin garnett,1
2003,Kobe Bryant,kobe bryant,1
2003,L. DonÄiÄ,l donaia,1
2003,L. James,l james,1
2003,Michael Jordan,michael jordan,1
2003,N. JokiÄ,n jokia,1
2003,Paul Pierce,paul pierce,1
2003,Peja StojakoviÄ,peja stojakovia,1
2003,S. Curry,s curry,1
2003,Shaquille O'Neal,shaquille oneal,1
2003,Shawn Marion,shawn marion,1
2003,Stephon Marbury,stephon marbury,1
2003,Steve Francis,steve francis,1
2003,Steve Nash,steve nash,1
2003,Tim Duncan,tim duncan,1
2003,Tracy McGrady,tracy mcgrady,1
2003,V. Wembanyama,v wembanyama,1
2003,Vince Carter,vince carter,1
2003,W. Chamberlain,w chamberlain,1
2003,Yao Ming,yao ming,1
2003,Zydrunas Ilgauskas,zydrunas ilgauskas,1
2004,Allen Iverson,allen iverson,1
2004,Andrei Kirilenko,andrei kirilenko,1
2004,Baron Davis,baron davis,1
2004,Ben Wallace,ben wallace,1
2004,Brad Miller,brad miller,1
2004,D. Schayes,d schayes,1
2004,Dirk Nowitzki,dirk nowitzki,1
2004,E. Hayes,e hayes,1
2004,G. Antetokounmpo,g antetokounmpo,1
2004,H. Olajuwon,h olajuwon,1
2004,J. Embiid,j embiid,1
2004,J. Harden,j harden,1
2004,J. Havlicek,j havlicek,1
2004,J. Stockton,j stockton,1
2004,Jamaal Magloire,jamaal magloire,1
2004,Jason Kidd,jason kidd,1
2004,Jermaine O'Neal,jermaine oneal,1
2004,K. Durant,k durant,1
2004,Kenyon Martin,kenyon martin,1
2004,Kevin Garnett,kevin garnett,1
2004,Kobe Bryant,kobe bryant,1
2004,L. DonÄiÄ,l donaia,1
2004,L. James,l james,1
2004,Metta World Peace,metta world peace,1
2004,Michael Redd,michael redd,1
2004,N. JokiÄ,n jokia,1
2004,Paul Pierce,paul pierce,1
2004,Peja StojakoviÄ,peja stojakovia,1
2004,Ray Allen,ray allen,1
2004,S. Curry,s curry,1
2004,Sam Cassell,sam cassell,1
2004,Shaquille O'Neal,shaquille oneal,1
2004,Steve Francis,steve francis,1
2004,Tim Duncan,tim duncan,1
2004,Tracy McGrady,tracy mcgrady,1
2004,V. Wembanyama,v wembanyama,1
2004,Vince Carter,vince carter,1
2004,W. Chamberlain,w chamberlain,1
2004,Yao Ming,yao ming,1
2005,Allen Iverson,allen iverson,1
2005,Amar'e Stoudemire,amare stoudemire,1
2005,Antawn Jamison,antawn jamison,1
2005,Ben Wallace,ben wallace,1
2005,D. Schayes,d schayes,1
2005,Dirk Nowitzki,dirk nowitzki,1
2005,Dwyane Wade,dwyane wade,1
2005,E. Hayes,e hayes,1
2005,G. Antetokounmpo,g antetokounmpo,1
2005,Gilbert Arenas,gilbert arenas,1
2005,Grant Hill,grant hill,1
2005,H. Olajuwon,h olajuwon,1
2005,J. Embiid,j embiid,1
2005,J. Harden,j harden,1
2005,J. Havlicek,j havlicek,1
2005,J. Stockton,j stockton,1
2005,Jermaine O'Neal,jermaine oneal,1
2005,K. Durant,k durant,1
2005,Kevin Garnett,kevin garnett,1
2005,Kobe Bryant,kobe bryant,1
2005,L. DonÄiÄ,l donaia,1
2005,L. James,l james,1
2005,LeBron James,lebron james,1
2005,Manu GinÃ³bili,manu gina3bili,1
2005,N. JokiÄ,n jokia,1
2005,Paul Pierce,paul pierce,1
2005,Rashard Lewis,rashard lewis,1
2005,Ray Allen,ray allen,1
2005,S. Curry,s curry,1
2005,Shaquille O'Neal,shaquille oneal,1
2005,Shawn Marion,shawn marion,1
2005,Steve Nash,steve nash,1
2005,Tim Duncan,tim duncan,1
2005,Tracy McGrady,tracy mcgrady,1
2005,V. Wembanyama,v wembanyama,1
2005,Vince Carter,vince carter,1
2005,W. Chamberlain,w chamberlain,1
2005,Yao Ming,yao ming,1
2005,Zydrunas Ilgauskas,zydrunas ilgauskas,1
2006,Allen Iverson,allen iverson,1
2006,Ben Wallace,ben wallace,1
2006,Chauncey Billups,chauncey billups,1
2006,Chris Bosh,chris bosh,1
2006,D. Schayes,d schayes,1
2006,Dirk Nowitzki,dirk nowitzki,1
2006,Dwyane Wade,dwyane wade,1
2006,E. Hayes,e hayes,1
2006,Elton Brand,elton brand,1
2006,G. Antetokounmpo,g antetokounmpo,1
2006,Gilbert Arenas,gilbert arenas,1
2006,H. Olajuwon,h olajuwon,1
2006,J. Embiid,j embiid,1
2006,J. Harden,j harden,1
2006,J. Havlicek,j havlicek,1
2006,J. Stockton,j stockton,1
2006,Jermaine O'Neal,jermaine oneal,1
2006,K. Durant,k durant,1
2006,Kevin Garnett,kevin garnett,1
2006,Kobe Bryant,kobe bryant,1
2006,L. DonÄiÄ,l donaia,1
2006,L. James,l james,1
2006,LeBron James,lebron james,1
2006,N. JokiÄ,n jokia,1
2006,Pau Gasol,pau gasol,1
2006,Paul Pierce,paul pierce,1
2006,Rasheed Wallace,rasheed wallace,1
2006,Ray Allen,ray allen,1
2006,Richard Hamilton,richard hamilton,1
2006,S. Curry,s curry,1
2006,Shaquille O'Neal,shaquille oneal,1
2006,Shawn Marion,shawn marion,1
2006,Steve Nash,steve nash,1
2006,Tim Duncan,tim duncan,1
2006,Tony Parker,tony parker,1
2006,Tracy McGrady,tracy mcgrady,1
2006,V. Wembanyama,v wembanyama,1
2006,Vince Carter,vince carter,1
2006,W. Chamberlain,w chamberlain,1
2006,Yao Ming,yao ming,1
2007,Allen Iverson,allen iverson,1
2007,Amar'e Stoudemire,amare stoudemire,1
2007,Carlos Boozer,carlos boozer,1
2007,Carmelo Anthony,carmelo anthony,1
2007,Caron Butler,caron butler,1
2007,Chauncey Billups,chauncey billups,1
2007,Chris Bosh,chris bosh,1
2007,D. Schayes,d schayes,1
2007,Dirk Nowitzki,dirk nowitzki,1
2007,Dwight Howard,dwight howard,1
2007,Dwyane Wade,dwyane wade,1
2007,E. Hayes,e hayes,1
2007,G. Antetokounmpo,g antetokounmpo,1
2007,Gilbert Arenas,gilbert arenas,1
2007,H. Olajuwon,h olajuwon,1
2007,J. Embiid,j embiid,1
2007,J. Harden,j harden,1
2007,J. Havlicek,j havlicek,1
2007,J. Stockton,j stockton,1
2007,Jason Kidd,jason kidd,1
2007,Jermaine O'Neal,jermaine oneal,1
2007,Joe Johnson,joe johnson,1
2007,Josh Howard,josh howard,1
2007,K. Durant,k durant,1
2007,Kevin Garnett,kevin garnett,1
2007,Kobe Bryant,kobe bryant,1
2007,L. DonÄiÄ,l donaia,1
2007,L. James,l james,1
2007,LeBron James,lebron james,1
2007,Mehmet Okur,mehmet okur,1
2007,N. JokiÄ,n jokia,1
2007,Ray Allen,ray allen,1
2007,Richard Hamilton,richard hamilton,1
2007,S. Curry,s curry,1
2007,Shaquille O'Neal,shaquille oneal,1
2007,Shawn Marion,shawn marion,1
2007,Steve Nash,steve nash,1
2007,Tim Duncan,tim duncan,1
2007,Tony Parker,tony parker,1
2007,Tracy McGrady,tracy mcgrady,1
2007,V. Wembanyama,v wembanyama,1
2007,Vince Carter,vince carter,1
2007,W. Chamberlain,w chamberlain,1
2007,Yao Ming,yao ming,1
2008,Allen Iverson,allen iverson,1
2008,Amar'e Stoudemire,amare stoudemire,1
2008,Antawn Jamison,antawn jamison,1
2008,Brandon Roy,brandon roy,1
2008,Carlos Boozer,carlos boozer,1
2008,Carmelo Anthony,carmelo anthony,1
2008,Caron Butler,caron butler,1
2008,Chauncey Billups,chauncey billups,1
2008,Chris Bosh,chris bosh,1
2008,Chris Paul,chris paul,1
2008,D. Schayes,d schayes,1
2008,David West,david west,1
2008,Dirk Nowitzki,dirk nowitzki,1
2008,Dwight Howard,dwight howard,1
2008,Dwyane Wade,dwyane wade,1
2008,E. Hayes,e hayes,1
2008,G. Antetokounmpo,g antetokounmpo,1
2008,H. Olajuwon,h olajuwon,1
2008,J. Embiid,j embiid,1
2008,J. Harden,j harden,1
2008,J. Havlicek,j havlicek,1
2008,J. Stockton,j stockton,1
2008,Jason Kidd,jason kidd,1
2008,Joe Johnson,joe johnson,1
2008,K. Durant,k durant,1
2008,Kevin Garnett,kevin garnett,1
2008,Kobe Bryant,kobe bryant,1
2008,L. DonÄiÄ,l donaia,1
2008,L. James,l james,1
2008,LeBron James,lebron james,1
2008,N. JokiÄ,n jokia,1
2008,Paul Pierce,paul pierce,1
2008,Rasheed Wallace,rasheed wallace,1
2008,Ray Allen,ray allen,1
2008,Richard Hamilton,richard hamilton,1
2008,S. Curry,s curry,1
2008,Steve Nash,steve nash,1
2008,Tim Duncan,tim duncan,1
2008,V. Wembanyama,v wembanyama,1
2008,W. Chamberlain,w chamberlain,1
2008,Yao Ming,yao ming,1
2009,Allen Iverson,allen iverson,1
2009,Amar'e Stoudemire,amare stoudemire,1
2009,Brandon Roy,brandon roy,1
2009,Chauncey Billups,chauncey billups,1
2009,Chris Bosh,chris bosh,1
2009,Chris Paul,chris paul,1
2009,D. Schayes,d schayes,1
2009,Danny Granger,danny granger,1
2009,David West,david west,1
2009,Devin Harris,devin harris,1
2009,Dirk Nowitzki,dirk nowitzki,1
2009,Dwight Howard,dwight howard,1
2009,Dwyane Wade,dwyane wade,1
2009,E. Hayes,e hayes,1
2009,G. Antetokounmpo,g antetokounmpo,1
2009,H. Olajuwon,h olajuwon,1
2009,J. Embiid,j embiid,1
2009,J. Harden,j harden,1
2009,J. Havlicek,j havlicek,1
2009,J. Stockton,j stockton,1
2009,Jameer Nelson,jameer nelson,1
2009,Joe Johnson,joe johnson,1
2009,K. Durant,k durant,1
2009,Kevin Garnett,kevin garnett,1
2009,Kobe Bryant,kobe bryant,1
2009,L. DonÄiÄ,l donaia,1
2009,L. James,l james,1
2009,LeBron James,lebron james,1
2009,Mo Williams,mo williams,1
2009,N. JokiÄ,n jokia,1
2009,Pau Gasol,pau gasol,1
2009,Paul Pierce,paul pierce,1
2009,Rashard Lewis,rashard lewis,1
2009,Ray Allen,ray allen,1
2009,S. Curry,s curry,1
2009,Shaquille O'Neal,shaquille oneal,1
2009,Tim Duncan,tim duncan,1
2009,Tony Parker,tony parker,1
2009,V. Wembanyama,v wembanyama,1
2009,W. Chamberlain,w chamberlain,1
2009,Yao Ming,yao ming,1
2010,Al Horford,al horford,1
2010,Allen Iverson,allen iverson,1
2010,Amar'e Stoudemire,amare stoudemire,1
2010,Brandon Roy,brandon roy,1
2010,Carmelo Anthony,carmelo anthony,1
2010,Chauncey Billups,chauncey billups,1
2010,Chris Bosh,chris bosh,1
2010,Chris Kaman,chris kaman,1
2010,Chris Paul,chris paul,1
2010,D. Schayes,d schayes,1
2010,David Lee,david lee,1
2010,Deron Williams,deron williams,1
2010,Derrick Rose,derrick rose,1
2010,Dirk Nowitzki,dirk nowitzki,1
2010,Dwight Howard,dwight howard,1
2010,Dwyane Wade,dwyane wade,1
2010,E. Hayes,e hayes,1
2010,G. Antetokounmpo,g antetokounmpo,1
2010,Gerald Wallace,gerald wallace,1
2010,H. Olajuwon,h olajuwon,1
2010,J. Embiid,j embiid,1
2010,J. Harden,j harden,1
2010,J. Havlicek,j havlicek,1
2010,J. Stockton,j stockton,1
2010,Jason Kidd,jason kidd,1
2010,Joe Johnson,joe johnson,1
2010,K. Durant,k durant,1
2010,Kevin Durant,kevin durant,1
2010,Kevin Garnett,kevin garnett,1
2010,Kobe Bryant,kobe bryant,1
2010,L. DonÄiÄ,l donaia,1
2010,L. James,l james,1
2010,LeBron James,lebron james,1
2010,N. JokiÄ,n jokia,1
2010,Pau Gasol,pau gasol,1
2010,Paul Pierce,paul pierce,1
2010,Rajon Rondo,rajon rondo,1
2010,S. Curry,s curry,1
2010,Steve Nash,steve nash,1
2010,Tim Duncan,tim duncan,1
2010,V. Wembanyama,v wembanyama,1
2010,W. Chamberlain,w chamberlain,1
2010,Zach Randolph,zach randolph,1
2011,Al Horford,al horford,1
2011,Amar'e Stoudemire,amare stoudemire,1
2011,Blake Griffin,blake griffin,1
2011,Carmelo Anthony,carmelo anthony,1
2011,Chris Bosh,chris bosh,1
2011,Chris Paul,chris paul,1
2011,D. Schayes,d schayes,1
2011,Deron Williams,deron williams,1
2011,Derrick Rose,derrick rose,1
2011,Dirk Nowitzki,dirk nowitzki,1
2011,Dwight Howard,dwight howard,1
2011,Dwyane Wade,dwyane wade,1
2011,E. Hayes,e hayes,1
2011,G. Antetokounmpo,g antetokounmpo,1
2011,H. Olajuwon,h olajuwon,1
2011,J. Embiid,j embiid,1
2011,J. Harden,j harden,1
2011,J. Havlicek,j havlicek,1
2011,J. Stockton,j stockton,1
2011,Joe Johnson,joe johnson,1
2011,K. Durant,k durant,1
2011,Kevin Durant,kevin durant,1
2011,Kevin Garnett,kevin garnett,1
2011,Kevin Love,kevin love,1
2011,Kobe Bryant,kobe bryant,1
2011,L. DonÄiÄ,l donaia,1
2011,L. James,l james,1
2011,LeBron James,lebron james,1
2011,Manu GinÃ³bili,manu gina3bili,1
2011,N. JokiÄ,n jokia,1
2011,Pau Gasol,pau gasol,1
2011,Paul Pierce,paul pierce,1
2011,Rajon Rondo,rajon rondo,1
2011,Ray Allen,ray allen,1
2011,Russell Westbrook,russell westbrook,1
2011,S. Curry,s curry,1
2011,Tim Duncan,tim duncan,1
2011,V. Wembanyama,v wembanyama,1
2011,W. Chamberlain,w chamberlain,1
2011,Yao Ming,yao ming,1
2012,Andre Iguodala,andre iguodala,1
2012,Andrew Bynum,andrew bynum,1
2012,Blake Griffin,blake griffin,1
2012,Carmelo Anthony,carmelo anthony,1
2012,Chris Bosh,chris bosh,1
2012,Chris Paul,chris paul,1
2012,D. Schayes,d schayes,1
2012,Deron Williams,deron williams,1
2012,Derrick Rose,derrick rose,1
2012,Dirk Nowitzki,dirk nowitzki,1
2012,Dwight Howard,dwight howard,1
2012,Dwyane Wade,dwyane wade,1
2012,E. Hayes,e hayes,1
2012,G. Antetokounmpo,g antetokounmpo,1
2012,H. Olajuwon,h olajuwon,1
2012,J. Embiid,j embiid,1
2012,J. Harden,j harden,1
2012,J. Havlicek,j havlicek,1
2012,J. Stockton,j stockton,1
2012,Joe Johnson,joe johnson,1
2012,K. Durant,k durant,1
2012,Kevin Durant,kevin durant,1
2012,Kevin Love,kevin love,1
2012,Kobe Bryant,kobe bryant,1
2012,L. DonÄiÄ,l donaia,1
2012,L. James,l james,1
2012,LaMarcus Aldridge,lamarcus aldridge,1
2012,LeBron James,lebron james,1
2012,Luol Deng,luol deng,1
2012,Marc Gasol,marc gasol,1
2012,N. JokiÄ,n jokia,1
2012,Paul Pierce,paul pierce,1
2012,Rajon Rondo,rajon rondo,1
2012,Roy Hibbert,roy hibbert,1
2012,Russell Westbrook,russell westbrook,1
2012,S. Curry,s curry,1
2012,Steve Nash,steve nash,1
2012,Tony Parker,tony parker,1
2012,V. Wembanyama,v wembanyama,1
2012,W. Chamberlain,w chamberlain,1
2013,Blake Griffin,blake griffin,1
2013,Brook Lopez,brook lopez,1
2013,Carmelo Anthony,carmelo anthony,1
2013,Chris Bosh,chris bosh,1
2013,Chris Paul,chris paul,1
2013,D. Schayes,d schayes,1
2013,David Lee,david lee,1
2013,Dwight Howard,dwight howard,1
2013,Dwyane Wade,dwyane wade,1
2013,E. Hayes,e hayes,1
2013,G. Antetokounmpo,g antetokounmpo,1
2013,H. Olajuwon,h olajuwon,1
2013,J. Embiid,j embiid,1
2013,J. Harden,j harden,1
2013,J. Havlicek,j havlicek,1
2013,J. Stockton,j stockton,1
2013,James Harden,james harden,1
2013,Joakim Noah,joakim noah,1
2013,Jrue Holiday,jrue holiday,1
2013,K. Durant,k durant,1
2013,Kevin Durant,kevin durant,1
2013,Kevin Garnett,kevin garnett,1
2013,Kobe Bryant,kobe bryant,1
2013,Kyrie Irving,kyrie irving,1
2013,L. DonÄiÄ,l donaia,1
2013,L. James,l james,1
2013,LaMarcus Aldridge,lamarcus aldridge,1
2013,LeBron James,lebron james,1
2013,Luol Deng,luol deng,1
2013,N. JokiÄ,n jokia,1
2013,Paul George,paul george,1
2013,Rajon Rondo,rajon rondo,1
2013,Russell Westbrook,russell westbrook,1
2013,S. Curry,s curry,1
2013,Tim Duncan,tim duncan,1
2013,Tony Parker,tony parker,1
2013,Tyson Chandler,tyson chandler,1
2013,V. Wembanyama,v wembanyama,1
2013,W. Chamberlain,w chamberlain,1
2013,Zach Randolph,zach randolph,1
2014,Anthony Davis,anthony davis,1
2014,Blake Griffin,blake griffin,1
2014,Carmelo Anthony,carmelo anthony,1
2014,Chris Bosh,chris bosh,1
2014,Chris Paul,chris paul,1
2014,D. Schayes,d schayes,1
2014,Damian Lillard,damian lillard,1
2014,DeMar DeRozan,demar derozan,1
2014,Dirk Nowitzki,dirk nowitzki,1
2014,Dwight Howard,dwight howard,1
2014,Dwyane Wade,dwyane wade,1
2014,E. Hayes,e hayes,1
2014,G. Antetokounmpo,g antetokounmpo,1
2014,H. Olajuwon,h olajuwon,1
2014,J. Embiid,j embiid,1
2014,J. Harden,j harden,1
2014,J. Havlicek,j havlicek,1
2014,J. Stockton,j stockton,1
2014,James Harden,james harden,1
2014,Joakim Noah,joakim noah,1
2014,Joe Johnson,joe johnson,1
2014,John Wall,john wall,1
2014,K. Durant,k durant,1
2014,Kevin Durant,kevin durant,1
2014,Kevin Love,kevin love,1
2014,Kobe Bryant,kobe bryant,1
2014,Kyrie Irving,kyrie irving,1
2014,L. DonÄiÄ,l donaia,1
2014,L. James,l james,1
2014,LaMarcus Aldridge,lamarcus aldridge,1
2014,LeBron James,lebron james,1
2014,N. JokiÄ,n jokia,1
2014,Paul George,paul george,1
2014,Paul Millsap,paul millsap,1
2014,Roy Hibbert,roy hibbert,1
2014,S. Curry,s curry,1
2014,Stephen Curry,stephen curry,1
2014,Tony Parker,tony parker,1
2014,V. Wembanyama,v wembanyama,1
2014,W. Chamberlain,w chamberlain,1
2015,Al Horford,al horford,1
2015,Anthony Davis,anthony davis,1
2015,Blake Griffin,blake griffin,1
2015,Carmelo Anthony,carmelo anthony,1
2015,Chris Bosh,chris bosh,1
2015,Chris Paul,chris paul,1
2015,D. Schayes,d schayes,1
2015,Damian Lillard,damian lillard,1
2015,DeMarcus Cousins,demarcus cousins,1
2015,Dirk Nowitzki,dirk nowitzki,1
2015,Dwyane Wade,dwyane wade,1
2015,E. Hayes,e hayes,1
2015,G. Antetokounmpo,g antetokounmpo,1
2015,H. Olajuwon,h olajuwon,1
2015,J. Embiid,j embiid,1
2015,J. Harden,j harden,1
2015,J. Havlicek,j havlicek,1
2015,J. Stockton,j stockton,1
2015,James Harden,james harden,1
2015,Jeff Teague,jeff teague,1
2015,Jimmy Butler,jimmy butler iii,1
2015,John Wall,john wall,1
2015,K. Durant,k durant,1
2015,Kevin Durant,kevin durant,1
2015,Klay Thompson,klay thompson,1
2015,Kobe Bryant,kobe bryant,1
2015,Kyle Korver,kyle korver,1
2015,Kyle Lowry,kyle lowry,1
2015,Kyrie Irving,kyrie irving,1
2015,L. DonÄiÄ,l donaia,1
2015,L. James,l james,1
2015,LaMarcus Aldridge,lamarcus aldridge,1
2015,LeBron James,lebron james,1
2015,Marc Gasol,marc gasol,1
2015,N. JokiÄ,n jokia,1
2015,Pau Gasol,pau gasol,1
2015,Paul Millsap,paul millsap,1
2015,Russell Westbrook,russell westbrook,1
2015,S. Curry,s curry,1
2015,Stephen Curry,stephen curry,1
2015,Tim Duncan,tim duncan,1
2015,V. Wembanyama,v wembanyama,1
2015,W. Chamberlain,w chamberlain,1
2016,Al Horford,al horford,1
2016,Andre Drummond,andre drummond,1
2016,Anthony Davis,anthony davis,1
2016,Carmelo Anthony,carmelo anthony,1
2016,Chris Bosh,chris bosh,1
2016,Chris Paul,chris paul,1
2016,D. Schayes,d schayes,1
2016,DeMar DeRozan,demar derozan,1
2016,DeMarcus Cousins,demarcus cousins,1
2016,Draymond Green,draymond green,1
2016,Dwyane Wade,dwyane wade,1
2016,E. Hayes,e hayes,1
2016,G. Antetokounmpo,g antetokounmpo,1
2016,H. Olajuwon,h olajuwon,1
2016,Isaiah Thomas,isaiah thomas,1
2016,J. Embiid,j embiid,1
2016,J. Harden,j harden,1
2016,J. Havlicek,j havlicek,1
2016,J. Stockton,j stockton,1
2016,James Harden,james harden,1
2016,Jimmy Butler,jimmy butler iii,1
2016,John Wall,john wall,1
2016,K. Durant,k durant,1
2016,Kawhi Leonard,kawhi leonard,1
2016,Kevin Durant,kevin durant,1
2016,Klay Thompson,klay thompson,1
2016,Kobe Bryant,kobe bryant,1
2016,Kyle Lowry,kyle lowry,1
2016,L. DonÄiÄ,l donaia,1
2016,L. James,l james,1
2016,LaMarcus Aldridge,lamarcus aldridge,1
2016,LeBron James,lebron james,1
2016,N. JokiÄ,n jokia,1
2016,Pau Gasol,pau gasol,1
2016,Paul George,paul george,1
2016,Paul Millsap,paul millsap,1
2016,Russell Westbrook,russell westbrook,1
2016,S. Curry,s curry,1
2016,Stephen Curry,stephen curry,1
2016,V. Wembanyama,v wembanyama,1
2016,W. Chamberlain,w chamberlain,1
2017,Anthony Davis,anthony davis,1
2017,Carmelo Anthony,carmelo anthony,1
2017,D. Schayes,d schayes,1
2017,DeAndre Jordan,deandre jordan,1
2017,DeMar DeRozan,demar derozan,1
2017,DeMarcus Cousins,demarcus cousins,1
2017,Draymond Green,draymond green,1
2017,E. Hayes,e hayes,1
2017,G. Antetokounmpo,g antetokounmpo,1
2017,Giannis Antetokounmpo,giannis antetokounmpo,1
2017,Gordon Hayward,gordon hayward,1
2017,H. Olajuwon,h olajuwon,1
2017,Isaiah Thomas,isaiah thomas,1
2017,J. Embiid,j embiid,1
2017,J. Harden,j harden,1
2017,J. Havlicek,j havlicek,1
2017,J. Stockton,j stockton,1
2017,James Harden,james harden,1
2017,Jimmy Butler,jimmy butler iii,1
2017,John Wall,john wall,1
2017,K. Durant,k durant,1
2017,Kawhi Leonard,kawhi leonard,1
2017,Kemba Walker,kemba walker,1
2017,Kevin Durant,kevin durant,1
2017,Kevin Love,kevin love,1
2017,Klay Thompson,klay thompson,1
2017,Kyle Lowry,kyle lowry,1
2017,Kyrie Irving,kyrie irving,1
2017,L. DonÄiÄ,l donaia,1
2017,L. James,l james,1
